time=  0.50000000E-02
  0.31464115E-10  0.11231053E-10 -0.56692780E-11 -0.38078097E-11  0.15064311E-10
  0.62215957E-08  0.43430255E-08 -0.42022254E-08 -0.15500633E-10  0.33681670E-10
  0.84177172E-05  0.58976169E-05 -0.57295178E-05 -0.96002827E-08  0.66098809E-10
  0.73750031E-06  0.51666433E-06 -0.50187046E-06 -0.86823086E-09  0.11385428E-09
  0.14867907E-07  0.10207811E-07 -0.91505354E-08 -0.74324661E-10  0.17213168E-09
  0.37840105E-09  0.16417977E-09  0.39483252E-10 -0.58953989E-10  0.22841676E-09
  0.29608034E-09  0.10665952E-09  0.53469797E-10 -0.66575758E-10  0.26604240E-09
  0.29833220E-09  0.10659364E-09  0.51763679E-10 -0.68214162E-10  0.27197530E-09
  0.26796118E-09  0.95018922E-10  0.46301750E-10 -0.61039323E-10  0.24404157E-09
  0.22149151E-09  0.67821801E-10  0.37355314E-10 -0.44813299E-10  0.19220022E-09
  0.29129335E-09 -0.45696721E-10  0.37556503E-10  0.12081104E-10  0.13286166E-09
  0.16051156E-08 -0.98469666E-09  0.14407449E-09  0.45242034E-09  0.80612276E-10
  0.12407570E-07 -0.82644241E-08  0.10577100E-08  0.38408447E-08  0.42929757E-10
  0.78903115E-07 -0.52840285E-07  0.67018724E-08  0.24574782E-07  0.20066490E-10
  0.39422988E-06 -0.26411368E-06  0.33476247E-07  0.12283944E-06  0.82326585E-11
  0.15428829E-05 -0.10336850E-05  0.13101199E-06  0.48076953E-06  0.29645892E-11
  0.47283123E-05 -0.31678356E-05  0.40149804E-06  0.14733690E-05  0.93701098E-12
  0.11336108E-04 -0.75948743E-05  0.96258967E-06  0.35323969E-05  0.25994446E-12
  0.21089293E-04 -0.14129235E-04  0.17907677E-05  0.65715462E-05  0.63295402E-13
  0.28364808E-04 -0.19003627E-04  0.24085579E-05  0.88386389E-05  0.13527561E-13
  0.16808658E-04 -0.11261330E-04  0.14272836E-05  0.52376755E-05  0.25375964E-14
  0.12166942E-05 -0.81515100E-06  0.10331385E-06  0.37912897E-06  0.41781242E-15
  0.15662766E-07 -0.10493967E-07  0.13272406E-08  0.48794288E-08  0.60380383E-16
  0.25420859E-09 -0.18362186E-09 -0.76932994E-10  0.36722820E-10  0.76588967E-17
  0.67874545E-12 -0.40122098E-12  0.62361793E-13  0.19459546E-12  0.85269505E-18
  0.11514380E-08  0.84614531E-09  0.70668940E-09  0.40024894E-10  0.83329699E-19
  0.14092047E-04  0.10355953E-04  0.86491371E-05  0.48984030E-06  0.71536131E-20
  0.46825719E-01  0.34411250E-01  0.28739761E-01  0.16276644E-02  0.54617389E-21
  0.60758701E-01  0.44650310E-01  0.37291270E-01  0.21119756E-02  0.43945805E-22
  0.11375075E-02  0.83593069E-03  0.69815679E-03  0.39539822E-04  0.94707838E-23
  0.82393474E-05  0.60548342E-05  0.50569081E-05  0.28640052E-06  0.56858740E-23
  0.24291057E-07  0.17564362E-07  0.14673566E-07  0.84553408E-09  0.35865630E-23
  0.60451234E-09 -0.30260922E-09 -0.24211913E-09  0.24076192E-10  0.19572092E-23
  0.12476022E-08 -0.70039998E-09 -0.56197664E-09  0.50000030E-10  0.90985880E-24
  0.22451194E-08 -0.12604344E-08 -0.10113295E-08  0.89977560E-10  0.35985808E-24
  0.33576562E-08 -0.18850247E-08 -0.15124793E-08  0.13456465E-09  0.12106542E-24
  0.41731015E-08 -0.23428246E-08 -0.18798023E-08  0.16724522E-09  0.34642272E-25
  0.43101567E-08 -0.24197688E-08 -0.19415397E-08  0.17273798E-09  0.84308485E-26
  0.36989323E-08 -0.20765012E-08 -0.16660830E-08  0.14823948E-09  0.17450315E-26
  0.28450451E-08 -0.13550383E-08 -0.10254440E-08  0.10899246E-09  0.30717939E-27
  0.17007505E-08 -0.78261957E-09 -0.58401400E-09  0.64585888E-10  0.45985177E-28
